Id,Entrada,Surco,Norte,Este,Latitud,Longitud,n_tallos,t_daño,p_daño
93,E10,S54,935236.296,1089600.212,4.010131418,-76.27067986,9,3,0.33333
94,E11,S60,935241.824,1089598.355,4.010181421,-76.27069653,12,0,0
95,E12,S66,935247.356,1089600.201,4.010231427,-76.27067986,14,6,0.42857
96,E1,S1,935190.4154,1089565.143,4.009716862,-76.27099603,16,7,0.4375
97,E1,S1,935186.505,1089574.347,4.009681421,-76.27091319,8,4,0.5
98,E2,S6,935194.1034,1089566.99,4.009750194,-76.27097937,10,1,0.1
99,E3,S12,935199.6374,1089570.687,4.009800202,-76.27094603,10,3,0.3
100,E4,S18,935205.1684,1089572.532,4.009850198,-76.27092937,15,2,0.13333
101,E5,S24,935210.6994,1089574.378,4.009900195,-76.2709127,15,5,0.33333
102,E6,S30,935218.0744,1089576.222,4.009966866,-76.27089603,16,3,0.1875
103,E7,S36,935223.6074,1089579.918,4.010016864,-76.2708627,13,5,0.38462
104,E8,S42,935229.1384,1089581.764,4.010066861,-76.27084603,13,3,0.23077
105,E9,S48,935234.6734,1089587.311,4.010116861,-76.27079603,7,0,0
106,E10,S54,935240.2064,1089591.008,4.01016686,-76.27076269,12,6,0.5
107,E11,S60,935245.7344,1089589.151,4.010216862,-76.27077937,17,2,0.11765
108,E12,S66,935251.2664,1089590.997,4.010266868,-76.2707627,12,8,0.66667
109,E1,S1,935194.3258,1089555.94,4.009752303,-76.27107886,15,4,0.26667
110,E2,S6,935198.0138,1089557.787,4.009785635,-76.2710622,8,2,0.25
111,E3,S12,935203.5478,1089561.484,4.009835643,-76.27102886,11,3,0.27273
112,E4,S18,935209.0788,1089563.329,4.009885639,-76.2710122,17,5,0.29412
113,E5,S24,935214.6098,1089565.175,4.009935636,-76.27099553,18,8,0.44444
114,E6,S30,935221.9848,1089567.019,4.010002307,-76.27097886,14,4,0.28571
115,E7,S36,935227.5178,1089570.715,4.010052306,-76.27094553,14,12,0.85714
116,E8,S42,935233.0488,1089572.561,4.010102302,-76.27092886,11,7,0.63636
117,E9,S48,935238.5838,1089578.108,4.010152302,-76.27087886,16,6,0.375
118,E10,S54,935244.1168,1089581.805,4.010202301,-76.27084553,11,4,0.36364
119,E11,S60,935249.6448,1089579.948,4.010252303,-76.2708622,19,3,0.15789
120,E12,S66,935255.1768,1089581.794,4.010302309,-76.27084553,10,3,0.3
121,E1,S1,935198.2362,1089546.736,4.009787745,-76.2711617,13,2,0.15385
122,E2,S6,935201.9242,1089548.583,4.009821076,-76.27114504,12,3,0.25
123,E3,S12,935207.4582,1089552.28,4.009871084,-76.2711117,18,7,0.38889
124,E4,S18,935212.9892,1089554.125,4.009921081,-76.27109504,15,2,0.13333
125,E5,S24,935218.5202,1089555.971,4.009971077,-76.27107837,14,3,0.21429
126,E6,S30,935225.8952,1089557.815,4.010037748,-76.2710617,14,9,0.64286
127,E7,S36,935231.4282,1089561.511,4.010087747,-76.27102837,10,4,0.4
128,E8,S42,935236.9592,1089563.357,4.010137744,-76.2710117,10,4,0.4
129,E9,S48,935242.4942,1089568.904,4.010187744,-76.2709617,17,9,0.52941
130,E10,S54,935248.0272,1089572.601,4.010237742,-76.27092836,8,3,0.375
131,E11,S60,935253.5552,1089570.744,4.010287745,-76.27094504,15,3,0.2
132,E12,S66,935259.0872,1089572.59,4.01033775,-76.27092837,11,3,0.27273
133,E1,S1,935202.1467,1089537.532,4.009823187,-76.27124454,13,5,0.38462
134,E2,S6,935205.8347,1089539.379,4.009856518,-76.27122787,14,3,0.21429
135,E3,S12,935211.3687,1089543.076,4.009906526,-76.27119454,17,5,0.29412
136,E4,S18,935216.8997,1089544.921,4.009956523,-76.27117788,17,0,0
137,E5,S24,935222.4307,1089546.767,4.010006519,-76.27116121,18,5,0.27778
138,E6,S30,935229.8057,1089548.611,4.01007319,-76.27114454,17,7,0.41176
139,E7,S36,935235.3387,1089552.307,4.010123189,-76.27111121,0,0,0
140,E8,S42,935240.8697,1089554.153,4.010173186,-76.27109454,13,6,0.46154
141,E9,S48,935246.4047,1089559.7,4.010223186,-76.27104454,12,8,0.66667
142,E10,S54,935251.9377,1089563.397,4.010273184,-76.2710112,13,8,0.61538
143,E11,S60,935257.4657,1089561.54,4.010323187,-76.27102788,13,4,0.30769
144,E12,S66,935262.9977,1089563.386,4.010373192,-76.27101121,10,6,0.6
